id,name,category,whatsapp,address,website,instagram,facebook,youtube,logo,approved,createdAt,updatedAt
7404d0f3-c93f-46dc-93bd-38e1b0af58b5, C-GRAF - Serviço Gráfico,Gráfica Digital,85999716126,"R. Romeu Martins, Canindé - CE, 62700-000, 537 - Centro",,@cleilson_grafica_c_graf,,,/uploads/logo_6ab353a5-8fef-43ca-ad5d-1f3450c738dc.jpg,true,2025-05-16T23:13:10.528Z,2025-05-16T23:13:10.528Z
880cd5e4-d1fa-431e-a900-4d26aee3c696, Farmácia Santa Cecília,Farmacias e Drogarias,85999915734,"R. Severiano Martins, Canindé - CE, 16 - Centro",,@farmaciasantaceciliacaninde,,,/uploads/logo_880cd5e4-d1fa-431e-a900-4d26aee3c696.jpeg,true,2025-05-09T09:46:19.706Z,2025-05-11T12:12:59.735Z
f8bd1b8a-fd2a-4692-91ae-48d0fd9c5874,4CJ - Telecom,Provedor de Internet,85997928915,"Rua Joaquim Magalhães, Canindé - CE, 1116A - Centro",,@4cjtelecom,,,/uploads/logo_f8bd1b8a-fd2a-4692-91ae-48d0fd9c5874.jpeg,true,2025-05-02T18:47:55.266Z,2025-05-11T12:12:59.352Z
2b4084bd-0a0c-4dae-b52b-5ce9768ade70,ART CENTER GRÁFICA ®️,Gráfica Digital,85989027597,"Rua Romeu Martins, Canindé, Ceara, Brazil 62700000, 20 - Centro",,@artcenter.grafica,,,/uploads/logo_3d95a8de-fd9d-46b2-b7cb-ddcd624c9d38.jpg,true,2025-05-16T23:10:23.058Z,2025-05-16T23:10:23.058Z
f69b65d9-3b00-4611-99cf-c31818671239,Amo Açaí Canindé®️,Açaiterias e Sorveteria,85996579512,"Rua Tabelião Facundo,, 210 - Centro",https://www.plataforma153.app/amoacai,@moacaicaninde,,,/uploads/logo_afdb8112-f7af-4e25-9c12-541128b3ce7c.jpg,true,2025-05-16T22:30:02.045Z,2025-05-16T22:30:02.045Z
da514094-b26c-4759-a8df-cc632379f8f3,Açaí.Com - O mais Puro Açaí de Canindé,Açaiterias e Sorveteria,85997818013,"Rua: Tabelião Facundo, Canindé-CE, 88 - Centro",https://www.plataforma153.app/acaicom/,@acai.com_caninde_,,,/uploads/logo_050689a6-218e-4dae-abb4-24129742844b.jpg,true,2025-05-16T22:27:00.269Z,2025-05-16T22:27:00.269Z
9cfeb38b-ebc7-4efb-97a9-e71ecb18f7de,Baritheles Pizzeria ,Pizzarias,85986120089,"PRAÇA DR. ARAMIS, 384 - Centro",,@baritheles_pizzaria,https://facebook.com/barithelespizzaria,https://youtube.com/@barithelespizzaria,/uploads/logo_9cfeb38b-ebc7-4efb-97a9-e71ecb18f7de.jpeg,true,2025-05-01T02:25:03.902Z,2025-05-18T00:17:13.436Z
e27c9264-d501-4c45-820f-820c87b9ccf9,Brisanet Telecomunicações,Provedor de Internet,79998709997,"R. Euclídes Barroso, Canindé - CE, 583 - Centro",,@brisanet.caninde,,,/uploads/logo_e27c9264-d501-4c45-820f-820c87b9ccf9.png,true,2025-05-02T18:36:34.216Z,2025-05-11T12:12:59.327Z
344b836b-a715-4823-9c00-24c8ee3b687b,CG MOTOS CANINDE 🏍,Auto Peças,85994153217," Rua Romeu Martins 501, Canindé, Ceara, Brazil 62700000, 501 - Centro",,@cgmotoscaninde,,,/uploads/logo_7b6c8096-0f3c-4fed-a1bd-05a7f28481ab.jpg,true,2025-05-17T19:36:57.201Z,2025-05-17T19:36:57.201Z
6770caa7-2381-48dc-99d2-1692c55f0d03,CONNECT ® || GRÁFICA E COM. VISUAL,Gráfica Digital,8596916646,"R. Romeu Martins, Centro, Canindé - CE, 62700-000, 447  - Centro",,@connectcaninde,,,/uploads/logo_7d8f51c4-63af-4331-b1c0-1c8fc570aec0.jpg,true,2025-05-16T23:07:25.361Z,2025-05-16T23:07:25.361Z
755ba8f2-ebb6-4fa3-9446-a2c774a478da,Clínica ODONTO ORPAM,Clinicas Dentarias,85992866827,"R. Severiano Martins, Canindé - CE, 32 - Centro",,@odontoorpam,,,/uploads/logo_755ba8f2-ebb6-4fa3-9446-a2c774a478da.webp,true,2025-05-02T01:38:30.584Z,2025-05-11T12:12:59.651Z
85e1ace7-d92d-4b8e-a3b8-2fe68e32ddc8,D'angeles Pizzaria,Pizzarias,85989045949,"Francisco das Chagas Barros, 662 - Campinas",https://delivery.yooga.app/pizzariadangeles,@dangelespizzaria,https://facebook.com/Pizzaria D'angeles ,,/uploads/logo_d415ae07-3467-49f8-bf4f-add47abab39c.jpg,true,2025-05-16T21:34:19.353Z,2025-05-16T21:34:19.353Z
1e3318d3-42a3-4084-bb9c-117b76c7028e,Dentista Do Povo Canindé,Clinicas Dentarias,85999849129,"R. Joaquim Magalhães, Canindé, 902 - Centro",,@dentistadopovocaninde,,,/uploads/logo_1e3318d3-42a3-4084-bb9c-117b76c7028e.jpeg,true,2025-05-02T01:41:47.732Z,2025-05-11T12:12:59.172Z
4397f670-5629-48e5-b48e-653abcb5c2fa,Dr. Brasil - Canindé-CE,Clinicas Dentarias,85992185269,"R. Antônio Martins, Canindé - CE, 164 - Centro",,@drbrasilcaninde,,,/uploads/logo_4397f670-5629-48e5-b48e-653abcb5c2fa.jpeg,true,2025-05-02T01:51:46.215Z,2025-05-11T12:12:59.280Z
cf2566f6-332c-4f3e-b8ce-037661d65d92,Dr. Guilherme Aguiar | Dentista,Clinicas Dentarias,85996226777,"Tv. Monsenhor João Cruz, Canindé - CE, 206 - Centro",,@drguilhermeaguiar1,,,/uploads/logo_cf2566f6-332c-4f3e-b8ce-037661d65d92.jpeg,true,2025-05-02T01:12:12.737Z,2025-05-11T12:12:59.567Z
0c15b4a7-4ec3-42e9-b13d-4a6562883298,Dr. Mikael Maciel,Clinicas de estética,85984066577,"Rua Monsenhor João Cruz, 310 - Centro",,@dr.mikaelmaciel,https://facebook.com/Mikael Maciel ,,/uploads/logo_82b2caa9-517e-4a82-98cd-a0bce4cc7b69.jpg,true,2025-05-15T20:45:49.828Z,2025-05-15T20:45:49.828Z
16c4566f-97c4-44cf-a4d8-edcc916d8833,Drogaria Maxi Popular,Farmacias e Drogarias,85992581443,"R. Romeu Martins, Canindé - CE, 114 - Centro",,@maxipopular.ce,,,/uploads/logo_16c4566f-97c4-44cf-a4d8-edcc916d8833.jpeg,true,2025-05-02T19:44:14.585Z,2025-05-11T12:12:59.672Z
3788e858-de96-42c6-9d00-88796311c1ac,Drogaria Ultra Popular - Canindé-CE,Farmacias e Drogarias,85992791793,"R. Euclídes Barroso, Canindé - CE, 389  - Centro",,@ultrapopular.ce,,,/uploads/logo_3788e858-de96-42c6-9d00-88796311c1ac.jpeg,true,2025-05-02T19:37:43.533Z,2025-05-11T12:12:59.693Z
b16f59b6-828c-428d-8620-a9d97318160a,ELETROGÁS CANINDÉ,Gás e Água,85984450140,"Av. Luciano Magalhães, Canindé-CE, 1240 - Santa Luzia",,@eletrogas.caninde,,,/uploads/logo_b9ca9ab3-7446-4888-a43b-4323e1658cbc.jpg,true,2025-05-16T22:40:27.111Z,2025-05-16T22:40:27.111Z
14508067-2992-4cf2-8cf9-624da3061ae0,ENDOMIND | CLINICA DE ODONTOLOGIA E PSICOLOGIA,Clinicas Dentarias,85985860554,"Rua Romeu Martins, Canindé-Ce, 304 - Centro",,@clinicaendomind,,,/uploads/logo_14508067-2992-4cf2-8cf9-624da3061ae0.jpeg,true,2025-05-02T01:15:52.045Z,2025-05-11T12:12:59.588Z
904c61b3-5fcd-4250-8d8d-ea2590d800e0,Empório Marmitaria ,Marmitarias,85997161387,"Santa Vitória , 3462 - Palestina ",,@Empóriomarmitaria01,,,/uploads/logo_0a12bd70-eaf9-4303-aeaf-0f69c5760109.jpg,true,2025-05-15T21:38:22.335Z,2025-05-16T20:03:33.605Z
163033d2-7aa1-4a56-be6f-164efdbcf9ec,Farmacia Central Popular,Farmacias e Drogarias,85994197881,"R. Euclídes Barroso, Canindé - CE, 700 - Centro",,@centralpopular.ce,,,/uploads/logo_163033d2-7aa1-4a56-be6f-164efdbcf9ec.webp,true,2025-05-09T09:57:13.395Z,2025-05-15T16:10:40.857Z
2c044fa1-08d5-47b8-8143-fa7e3b6135b4,Farmácias Pague Menos,Farmacias e Drogarias,85985130324,"R. Euclídes Barroso,   Canindé - CE, 565 - Centro",,@paguemenos,,,/uploads/logo_2c044fa1-08d5-47b8-8143-fa7e3b6135b4.jpeg,true,2025-05-09T09:43:07.237Z,2025-05-11T12:12:59.756Z
5af499cc-a8b9-465a-b812-cd9cee6307b9,Farmácia Santa Branca,Farmacias e Drogarias,85996382310,"R. Joaquim Magalhães, Canindé - CE, 119 - Centro",,@santabrancaoficial,,,/uploads/logo_5af499cc-a8b9-465a-b812-cd9cee6307b9.jpeg,true,2025-05-02T19:28:31.634Z,2025-05-11T12:12:59.373Z
49e4265e-54a1-4e41-8489-f8b6d3cf9fe6,Galeteria & Pizzaria Neurides,Pizzarias,85999275197,"Rua Romeu Martins - Canindé-CE, 556 - Centro",,@pizzarianeurides,,,/uploads/logo_49e4265e-54a1-4e41-8489-f8b6d3cf9fe6.jpeg,true,2025-05-01T03:20:36.709Z,2025-05-11T12:12:59.439Z
c198e2f5-58dc-4628-af73-59c1e8d5f6c5,Gráfica Canindé,Gráfica Digital,85996645289,"Rua Joaquim Magalhães, Canindé, Ceara, Brazil 62700000, 720 - Centro",,@grafica_caninde,,,/uploads/logo_cc5dd142-8e04-4920-9da4-9ab9f064f373.jpg,true,2025-05-16T23:02:19.369Z,2025-05-17T11:00:51.464Z
342db2dd-188f-4687-963e-8ced473e5ff3,IDEIA Agêcia Criativa,Serviços em Geral,85982356196,"Atendimento online., S/N - Canindé",,@ideiaagenciacriativa/,https://facebook.com/ideiaagenciacriativa/,https://youtube.com/@ideiaagenciacriativa4058,/uploads/logo_520e7023-6ccf-4c97-984b-2babb3565463.png,true,2025-05-15T21:30:55.849Z,2025-05-15T21:30:55.849Z
890503ec-8a1b-4507-be6d-24737b99f0fa,INOVARE GRÁFICA E COMUNICAÇÃO VISUAL,Gráfica Digital,85998158123,"Rua Raimundo Alcoforado , 534 B - Alto Guaramiranga",,@inovare.grafica,,,/uploads/logo_0f68790a-04c9-46e4-99a4-2c5c18aecd39.png,true,2025-05-16T20:57:34.903Z,2025-05-16T20:57:34.903Z
75a68a3f-de8c-4954-b579-428fa251102f,ISA COMERCIO E SERVIÇOS 💙,Gráfica Digital,85996580722,"Rua Clóvis Pinto, Canindé, Ceara, Brazil 62700000, 2191 - São Mateus",,@isacomercioeservicos,,,/uploads/logo_b5718687-eca5-473f-90ad-c133eedb66f7.jpg,true,2025-05-16T22:53:02.861Z,2025-05-16T22:53:31.671Z
bf54a890-2669-4470-a92b-2a1a53bda8a2,JM Graph - Soluções Gráficas,Gráfica Digital,85997490468,"Rua Joaquim Magalhães, Canindé, Ceara, Brazil 62.700-000, 408 - Centro",,@jmgraph1,,,/uploads/logo_b02278ea-d782-40ff-8988-df697dc32209.jpg,true,2025-05-16T23:15:06.017Z,2025-05-16T23:15:54.363Z
